Name    POST1   POST2   POST3   POST4   POST5   POST6   PRE1    PRE2    PRE3    PRE4    PRE5    PRE6
ENSG00000204389_HSPA1A	9598	7667	2870	5011	3865	4044	701	684	338	344	305	543
ENSG00000119508_NR4A3	3751	182	871	467	186	1518	65	14	33	27	18	77
ENSG00000204388_HSPA1B	9417	7035	2576	5631	2781	3147	486	266	233	203	213	422
ENSG00000132002_DNAJB1	8266	5637	1858	3348	2159	2183	749	604	409	536	296	683
ENSG00000265142_MIR133A1HG	1905	2691	1261	782	1153	2621	3084	4445	1687	1950	1204	5127
ENSG00000127528_KLF2	1211	856	822	602	688	980	211	198	192	134	116	540
ENSG00000120694_HSPH1	2262	1350	1090	1239	1089	1402	620	638	361	761	220	641
ENSG00000081041_CXCL2	539	203	144	141	233	86	1	10	14	0	3	0
ENSG00000154734_ADAMTS1	3529	1424	1523	1217	1454	2190	276	160	326	278	126	1057
ENSG00000149257_SERPINH1	1233	767	402	671	461	617	124	178	98	155	72	318
ENSG00000164736_SOX17	222	135	85	128	128	118	39	21	25	26	11	20
ENSG00000143878_RHOB	1717	1717	1002	1115	1230	1980	550	966	396	457	394	1231
ENSG00000075426_FOSL2	2285	1248	1233	599	799	1263	575	686	366	327	221	761
ENSG00000108551_RASD1	203	185	150	123	128	120	16	51	11	14	22	39
ENSG00000210082_MT-RNR2	754111	537364	362127	136285	368688	681540	388197	263446	158016	109819	140135	346582
ENSG00000173276_ZBTB21	138	112	104	59	91	147	25	24	35	12	7	31
ENSG00000161835_GRASP	394	334	205	268	382	350	33	40	67	41	21	172
ENSG00000226958_RNA28S5	282	269	462	419	402	355	282	1076	1479	729	607	1474
ENSG00000152049_KCNE4	65	82	63	28	120	130	9	17	13	10	15	27
ENSG00000059804_SLC2A3	883	318	273	289	220	325	14	61	55	17	4	92
ENSG00000155657_TTN	736677	555104	423326	315152	335963	639762	427962	379352	233670	250180	139199	438353
ENSG00000108256_NUFIP2	1362	929	534	501	588	1140	539	525	304	320	191	585
ENSG00000168758_SEMA4C	440	282	202	176	300	273	110	84	87	51	56	154
ENSG00000178878_APOLD1	1352	789	583	401	635	673	91	81	139	98	36	435
ENSG00000105722_ERF	389	229	202	137	198	315	75	67	63	55	39	186
ENSG00000130164_LDLR	319	168	298	99	128	249	30	50	71	18	8	137
ENSG00000176907_C8orf4	485	393	277	168	427	536	89	52	108	87	31	186
ENSG00000106366_SERPINE1	307	146	79	318	184	130	7	31	11	55	7	67
ENSG00000109906_ZBTB16	1875	1525	837	699	1016	1390	1044	1080	365	325	357	670
ENSG00000131016_AKAP12	488	433	304	143	286	283	117	237	133	47	41	151
ENSG00000123358_NR4A1	9366	6217	3749	3875	3743	5997	550	736	1769	900	341	3048
ENSG00000212907_MT-ND4L	50861	41945	28037	14187	23224	42694	31847	17425	12213	9955	7552	19577
ENSG00000117479_SLC19A2	2538	2177	2157	1224	854	3053	934	1668	654	586	369	1478
ENSG00000137507_LRRC32	501	337	197	149	326	194	142	106	74	26	78	123
ENSG00000136826_KLF4	844	494	409	249	356	448	42	69	120	65	27	285
ENSG00000148339_SLC25A25	1118	1225	454	245	968	1192	327	598	121	235	217	599
ENSG00000080824_HSP90AA1	23068	13527	7249	7992	6667	9981	10775	6208	3365	6020	2447	6781
ENSG00000177606_JUN	7642	5339	3239	3201	2732	4192	2160	2626	1882	1677	842	2879
ENSG00000174429_ABRA	5321	3446	3050	8359	3353	8762	1264	1764	1749	3787	1272	4807
ENSG00000171223_JUNB	5538	1063	780	908	628	584	78	91	142	77	47	403
ENSG00000184588_PDE4B	1121	393	221	113	162	324	402	217	119	46	43	173
ENSG00000175063_UBE2C	103	78	10	17	62	91	8	18	0	0	0	22
ENSG00000167460_TPM4	535	398	445	201	333	452	124	137	148	39	64	390
ENSG00000134107_BHLHE40	2633	1626	2079	863	1521	2792	986	878	871	604	483	2284
ENSG00000143384_MCL1	8160	5627	3746	3933	3333	5535	2705	3682	2148	2417	1215	3650
ENSG00000259820_AC083843.1	299	373	306	135	175	323	124	143	81	94	57	157
ENSG00000187678_SPRY4	198	184	112	141	160	239	59	81	52	58	45	122
ENSG00000006210_CX3CL1	313	288	353	154	441	451	55	69	110	67	31	337
ENSG00000144655_CSRNP1	1301	620	439	236	451	521	41	132	138	101	55	214
ENSG00000180530_NRIP1	1333	1924	1066	819	1178	2311	715	1304	562	643	464	1317
ENSG00000210195_MT-TT	22	8	12	0	11	30	43	94	59	20	76	56
ENSG00000101187_SLCO4A1	132	67	59	40	35	42	17	15	11	0	9	8
ENSG00000117461_PIK3R3	388	211	341	126	262	327	117	132	69	69	46	198
ENSG00000145020_AMT	317	326	257	164	165	361	326	621	292	265	161	470
ENSG00000279602_CTD-3014M21.1	171	69	40	61	240	76	9	5	25	2	0	10
ENSG00000185022_MAFF	1015	211	147	98	133	309	13	36	44	19	15	104
ENSG00000142627_EPHA2	135	111	121	54	115	111	47	53	35	11	17	49
ENSG00000108691_CCL2	652	61	111	74	120	63	12	23	4	12	11	32
